Year,Team,GINI
2013,Arizona Cardinals,0.43555275407664656
2013,Atlanta Falcons,0.4875229604732599
2013,Baltimore Ravens,0.4818468683640833
2013,Buffalo Bills,0.4509268126709172
2013,Carolina Panthers,0.45187992994083187
2013,Chicago Bears,0.5010738539251548
2013,Cincinnati Bengals,0.42087193175093823
2013,Cleveland Browns,0.5481785126440235
2013,Dallas Cowboys,0.45630069812541146
2013,Denver Broncos,0.4271271524505758
2013,Detroit Lions,0.5228366227708205
2013,Green Bay Packers,0.44530081059350546
2013,Houston Texans,0.5567262331603237
2013,Indianapolis Colts,0.40074672619015755
2013,Jacksonville Jaguars,0.5312320918372895
2013,Kansas City Chiefs,0.49300436064830094
2013,Las Vegas Raiders,0.4123342133670658
2013,Los Angeles Chargers,0.4656847761376925
2013,Los Angeles Rams,0.5248008818701255
2013,Miami Dolphins,0.40225160781029845
2013,Minnesota Vikings,0.47265214835041
2013,New England Patriots,0.5060491676000489
2013,New Orleans Saints,0.4279458111308783
2013,New York Giants,0.5422515318866047
2013,New York Jets,0.5461557535545348
2013,Philadelphia Eagles,0.4673424796768339
2013,Pittsburgh Steelers,0.49898833358856165
2013,San Francisco 49Ers,0.3289848563528742
2013,Seattle Seahawks,0.4736144905103977
2013,Tampa Bay Buccaneers,0.5482238850788461
2013,Tennessee Titans,0.38381094332345345
2013,Washington Commanders,0.4057554361744924
2014,Arizona Cardinals,0.46208040647842014
2014,Atlanta Falcons,0.4721070188114539
2014,Baltimore Ravens,0.5509904121957637
2014,Buffalo Bills,0.43137295653976404
2014,Carolina Panthers,0.4836733533038645
2014,Chicago Bears,0.5651174589852129
2014,Cincinnati Bengals,0.4103306353983865
2014,Cleveland Browns,0.5227942299221269
2014,Dallas Cowboys,0.5235278539606143
2014,Denver Broncos,0.4749278452188778
2014,Detroit Lions,0.5589128048037042
2014,Green Bay Packers,0.4638901100697279
2014,Houston Texans,0.5694254774582347
2014,Indianapolis Colts,0.3767164370068346
2014,Jacksonville Jaguars,0.45573433053057655
2014,Kansas City Chiefs,0.5073786573011144
2014,Las Vegas Raiders,0.4093954824732894
2014,Los Angeles Chargers,0.4752900674950015
2014,Los Angeles Rams,0.47903271692133526
2014,Miami Dolphins,0.4419890791330395
2014,Minnesota Vikings,0.4529220078639524
2014,New England Patriots,0.4273575090038423
2014,New Orleans Saints,0.5506474542388501
2014,New York Giants,0.5494075299332695
2014,New York Jets,0.3969649461120365
2014,Philadelphia Eagles,0.37165247842969
2014,Pittsburgh Steelers,0.5208416679304569
2014,San Francisco 49Ers,0.3943012589384466
2014,Seattle Seahawks,0.49755049511476934
2014,Tampa Bay Buccaneers,0.5326067453159898
2014,Tennessee Titans,0.43797340264934137
2014,Washington Commanders,0.47691061677567315
2015,Arizona Cardinals,0.5095472529983182
2015,Atlanta Falcons,0.49053631091330635
2015,Baltimore Ravens,0.48099592318786266
2015,Buffalo Bills,0.5380743304162128
2015,Carolina Panthers,0.5408286059614432
2015,Chicago Bears,0.5769682563955644
2015,Cincinnati Bengals,0.4130198657089165
2015,Cleveland Browns,0.44448928534768756
2015,Dallas Cowboys,0.4549967861360741
2015,Denver Broncos,0.4785826807940632
2015,Detroit Lions,0.5735946039555935
2015,Green Bay Packers,0.5171863723490577
2015,Houston Texans,0.49652058589288384
2015,Indianapolis Colts,0.4253886822490868
2015,Jacksonville Jaguars,0.4518618235128005
2015,Kansas City Chiefs,0.46755950186358747
2015,Las Vegas Raiders,0.45379061696883244
2015,Los Angeles Chargers,0.5214352845429695
2015,Los Angeles Rams,0.42367222084127587
2015,Miami Dolphins,0.5015877959706747
2015,Minnesota Vikings,0.41022634213165
2015,New England Patriots,0.4563655311775839
2015,New Orleans Saints,0.545112203895483
2015,New York Giants,0.49171252263126997
2015,New York Jets,0.4345895636987489
2015,Philadelphia Eagles,0.38468797036859564
2015,Pittsburgh Steelers,0.47272490515702836
2015,San Francisco 49Ers,0.47663905297821624
2015,Seattle Seahawks,0.47655228558400653
2015,Tampa Bay Buccaneers,0.46625942796293424
2015,Tennessee Titans,0.36173477456765873
2015,Washington Commanders,0.4915688611952716
2016,Arizona Cardinals,0.6020557586347497
2016,Atlanta Falcons,0.5159913031018116
2016,Baltimore Ravens,0.46569632900138125
2016,Buffalo Bills,0.48559875670471553
2016,Carolina Panthers,0.49923510270201804
2016,Chicago Bears,0.5336309890319664
2016,Cincinnati Bengals,0.4525973545538457
2016,Cleveland Browns,0.5208992687438906
2016,Dallas Cowboys,0.42536853741441366
2016,Denver Broncos,0.5346063836407567
2016,Detroit Lions,0.5192622213534585
2016,Green Bay Packers,0.5146013816638672
2016,Houston Texans,0.4657634814390298
2016,Indianapolis Colts,0.5342614078270068
2016,Jacksonville Jaguars,0.41352151219907823
2016,Kansas City Chiefs,0.5646023106222808
2016,Las Vegas Raiders,0.438206633961975
2016,Los Angeles Chargers,0.5333713075125287
2016,Los Angeles Rams,0.44381325738337923
2016,Miami Dolphins,0.5408954289913203
2016,Minnesota Vikings,0.39784910379616434
2016,New England Patriots,0.42998242818161553
2016,New Orleans Saints,0.5195195259906725
2016,New York Giants,0.5168586449049203
2016,New York Jets,0.5600913362179706
2016,Philadelphia Eagles,0.3172693109955463
2016,Pittsburgh Steelers,0.5735803317535739
2016,San Francisco 49Ers,0.525891971681102
2016,Seattle Seahawks,0.5553309017835132
