Year,Team,GINI
2013,Arizona Cardinals,0.49225472982412255
2013,Atlanta Falcons,0.5357257822395257
2013,Baltimore Ravens,0.5351119801997838
2013,Buffalo Bills,0.5153013363480922
2013,Carolina Panthers,0.4841382354099896
2013,Chicago Bears,0.5480349944139787
2013,Cincinnati Bengals,0.4799759948035493
2013,Cleveland Browns,0.5829704725332947
2013,Dallas Cowboys,0.4991942038724541
2013,Denver Broncos,0.48138709243474065
2013,Detroit Lions,0.5582597030504918
2013,Green Bay Packers,0.5113212754107137
2013,Houston Texans,0.5786355289323739
2013,Indianapolis Colts,0.4807625020220814
2013,Jacksonville Jaguars,0.5604034514160833
2013,Kansas City Chiefs,0.5533445135347715
2013,Las Vegas Raiders,0.43957734756003225
2013,Los Angeles Chargers,0.5116436818841499
2013,Los Angeles Rams,0.5376265099308933
2013,Miami Dolphins,0.4650893736723223
2013,Minnesota Vikings,0.5343453330263211
2013,New England Patriots,0.5399928544936783
2013,New Orleans Saints,0.49575066093364517
2013,New York Giants,0.5656475996756687
2013,New York Jets,0.5623763179847955
2013,Philadelphia Eagles,0.5265175365742241
2013,Pittsburgh Steelers,0.5427644888651921
2013,San Francisco 49Ers,0.42437982230488375
2013,Seattle Seahawks,0.5235677795163269
2013,Tampa Bay Buccaneers,0.593293614040392
2013,Tennessee Titans,0.45781258500318206
2013,Washington Commanders,0.46727382776973836
2014,Arizona Cardinals,0.5140437823732568
2014,Atlanta Falcons,0.5282644535317084
2014,Baltimore Ravens,0.5883805026485976
2014,Buffalo Bills,0.50109655958941
2014,Carolina Panthers,0.5310559628953329
2014,Chicago Bears,0.5922552538253792
2014,Cincinnati Bengals,0.48249140101095295
2014,Cleveland Browns,0.5702297233455621
2014,Dallas Cowboys,0.5479362652362544
2014,Denver Broncos,0.5401159774205042
2014,Detroit Lions,0.5933536583939623
2014,Green Bay Packers,0.5290583216904582
2014,Houston Texans,0.600235232492075
2014,Indianapolis Colts,0.4556509004741995
2014,Jacksonville Jaguars,0.5173873211644782
2014,Kansas City Chiefs,0.5483650728025014
2014,Las Vegas Raiders,0.4672524912168973
2014,Los Angeles Chargers,0.5205630204855962
2014,Los Angeles Rams,0.5192241976993069
2014,Miami Dolphins,0.5112206468119654
2014,Minnesota Vikings,0.5020689393628349
2014,New England Patriots,0.5004458570487217
2014,New Orleans Saints,0.5877258833287986
2014,New York Giants,0.5699249374165722
2014,New York Jets,0.46743665010358953
2014,Philadelphia Eagles,0.4486617633082817
2014,Pittsburgh Steelers,0.5646184459678335
2014,San Francisco 49Ers,0.4732037681939334
2014,Seattle Seahawks,0.5397306744515564
2014,Tampa Bay Buccaneers,0.5788392289927375
2014,Tennessee Titans,0.49837770368399026
2014,Washington Commanders,0.5237288564602642
2015,Arizona Cardinals,0.5649949178923919
2015,Atlanta Falcons,0.5347088213207016
2015,Baltimore Ravens,0.5249970662808082
2015,Buffalo Bills,0.5943668105872308
2015,Carolina Panthers,0.5806990099656575
2015,Chicago Bears,0.6096070873911063
2015,Cincinnati Bengals,0.49045765090920146
2015,Cleveland Browns,0.5122164827415174
2015,Dallas Cowboys,0.49901520864130916
2015,Denver Broncos,0.5483058361320887
2015,Detroit Lions,0.6046556501349502
2015,Green Bay Packers,0.5720981505216318
2015,Houston Texans,0.5464056667333477
2015,Indianapolis Colts,0.5140653593930453
2015,Jacksonville Jaguars,0.5203616439976361
2015,Kansas City Chiefs,0.5252963770015117
2015,Las Vegas Raiders,0.5066546487351371
2015,Los Angeles Chargers,0.570827444511188
2015,Los Angeles Rams,0.48995275582556497
2015,Miami Dolphins,0.5525492007696444
2015,Minnesota Vikings,0.4936424610830819
2015,New England Patriots,0.5105020745063467
2015,New Orleans Saints,0.5863100673470626
2015,New York Giants,0.5468533305763815
2015,New York Jets,0.5122864379660483
2015,Philadelphia Eagles,0.4722854198817219
2015,Pittsburgh Steelers,0.5172791071613193
2015,San Francisco 49Ers,0.5173640317483076
2015,Seattle Seahawks,0.5377993744257183
2015,Tampa Bay Buccaneers,0.517100887012377
2015,Tennessee Titans,0.4382743153325234
2015,Washington Commanders,0.5422469219293489
2016,Arizona Cardinals,0.6345990193269315
2016,Atlanta Falcons,0.5592693138251079
2016,Baltimore Ravens,0.526923101784435
2016,Buffalo Bills,0.5383116076957946
2016,Carolina Panthers,0.5441574509121284
2016,Chicago Bears,0.549489530757427
2016,Cincinnati Bengals,0.5209847411190636
2016,Cleveland Browns,0.5511546418243034
2016,Dallas Cowboys,0.48091165215173465
2016,Denver Broncos,0.5847936121560723
2016,Detroit Lions,0.5701935117907111
2016,Green Bay Packers,0.5767497582032803
2016,Houston Texans,0.5280826275985196
2016,Indianapolis Colts,0.5855629078876019
2016,Jacksonville Jaguars,0.49261778756285485
2016,Kansas City Chiefs,0.6017894046067676
2016,Las Vegas Raiders,0.5152145323671232
2016,Los Angeles Chargers,0.5801909629862082
2016,Los Angeles Rams,0.5121627541530913
2016,Miami Dolphins,0.5764799427336825
2016,Minnesota Vikings,0.48041733293488875
2016,New England Patriots,0.49588313600808787
2016,New Orleans Saints,0.5517140107956172
2016,New York Giants,0.5690372054246713
2016,New York Jets,0.6003494004377795
2016,Philadelphia Eagles,0.42141279402762005
2016,Pittsburgh Steelers,0.6100816996550029
2016,San Francisco 49Ers,0.5640234105845094
2016,Seattle Seahawks,0.5980613358417213
2016,Tampa Bay Buccaneers,0.4900924777845123
2016,Tennessee Titans,0.4494501106187111
2016,Washington Commanders,0.5830083538617818
2017,Arizona Cardinals,0.5554250511737685
2017,Atlanta Falcons,0.5381917742041001
2017,Baltimore Ravens,0.5199018888813457
2017,Buffalo Bills,0.5491549686463378
2017,Carolina Panthers,0.5220504455765989
2017,Chicago Bears,0.5389930217031411
2017,Cincinnati Bengals,0.5654471875856578
2017,Cleveland Browns,0.5332029393496981
2017,Dallas Cowboys,0.5223883409071676
2017,Denver Broncos,0.5954435333934069
2017,Detroit Lions,0.5537025051686539
2017,Green Bay Packers,0.5877636353630964
2017,Houston Texans,0.5941144831392993
2017,Indianapolis Colts,0.6028909668802158
2017,Jacksonville Jaguars,0.48880529471234346
2017,Kansas City Chiefs,0.5802013353702611
2017,Las Vegas Raiders,0.5401738319997135
2017,Los Angeles Chargers,0.5791392710774355
2017,Los Angeles Rams,0.5939847609020075
2017,Miami Dolphins,0.5650564963986476
2017,Minnesota Vikings,0.4734929308822894
2017,New England Patriots,0.4799367692370833
2017,New Orleans Saints,0.5931295134065613
2017,New York Giants,0.6360878318183533
2017,New York Jets,0.5514263441220629
2017,Philadelphia Eagles,0.4995280146288218
2017,Pittsburgh Steelers,0.5518604031794904
2017,San Francisco 49Ers,0.4817609057526822
2017,Seattle Seahawks,0.5527371252336145
2017,Tampa Bay Buccaneers,0.5218111443856611
2017,Tennessee Titans,0.3834866025532907
2017,Washington Commanders,0.6218892441420392
2018,Arizona Cardinals,0.6457811076505738
2018,Atlanta Falcons,0.5654143268677119
2018,Baltimore Ravens,0.5567513139116884
2018,Buffalo Bills,0.5073026156882775
2018,Carolina Panthers,0.5790304729717403
2018,Chicago Bears,0.4754080269219796
2018,Cincinnati Bengals,0.5778509465098739
2018,Cleveland Browns,0.557722497894576
2018,Dallas Cowboys,0.5847180920372779
2018,Denver Broncos,0.5659244162219171
2018,Detroit Lions,0.5335508056250445
2018,Green Bay Packers,0.6353042974443331
2018,Houston Texans,0.56578287271142
2018,Indianapolis Colts,0.6191176183257768
2018,Jacksonville Jaguars,0.6112451753836349
2018,Kansas City Chiefs,0.5687599059502602
2018,Las Vegas Raiders,0.6020024474340653
2018,Los Angeles Chargers,0.5789550639402963
2018,Los Angeles Rams,0.5349489555909652
2018,Miami Dolphins,0.5488599676392772
2018,Minnesota Vikings,0.5532005510242033
2018,New England Patriots,0.45218232162730565
2018,New Orleans Saints,0.5439231782837496
2018,New York Giants,0.618548606911144
2018,New York Jets,0.561321185023529
2018,Philadelphia Eagles,0.4949607332211138
2018,Pittsburgh Steelers,0.5487677308338894
2018,San Francisco 49Ers,0.5203973099320868
2018,Seattle Seahawks,0.5878637525147086
2018,Tampa Bay Buccaneers,0.5630573684980368
