Year,Team,GINI
2013,Arizona Cardinals,0.36319975406920385
2013,Atlanta Falcons,0.37388725567682
2013,Baltimore Ravens,0.39032674419262975
2013,Buffalo Bills,0.32819159348066546
2013,Carolina Panthers,0.37502249989204645
2013,Chicago Bears,0.4267127508233586
2013,Cincinnati Bengals,0.32573940123412115
2013,Cleveland Browns,0.4751416948132102
2013,Dallas Cowboys,0.35896334832944893
2013,Denver Broncos,0.38747654528992226
2013,Detroit Lions,0.46267851989785097
2013,Green Bay Packers,0.34639624110570705
2013,Houston Texans,0.5093475696313217
2013,Indianapolis Colts,0.28912938126186055
2013,Jacksonville Jaguars,0.457522117963661
2013,Kansas City Chiefs,0.3940289159332243
2013,Las Vegas Raiders,0.3611320762972901
2013,Los Angeles Chargers,0.3865174171579814
2013,Los Angeles Rams,0.4794343980474869
2013,Miami Dolphins,0.29386805995520526
2013,Minnesota Vikings,0.3923156600483412
2013,New England Patriots,0.4331866460752207
2013,New Orleans Saints,0.3263170764642006
2013,New York Giants,0.4744550332789414
2013,New York Jets,0.4938633846832515
2013,Philadelphia Eagles,0.3521576400948373
2013,Pittsburgh Steelers,0.41090376257276223
2013,San Francisco 49Ers,0.24057574567715673
2013,Seattle Seahawks,0.3550277973337278
2013,Tampa Bay Buccaneers,0.47488541536813833
2013,Tennessee Titans,0.30244764217674536
2013,Washington Commanders,0.3214528770822459
2014,Arizona Cardinals,0.3761236025053152
2014,Atlanta Falcons,0.35119724630302457
2014,Baltimore Ravens,0.47591919211981965
2014,Buffalo Bills,0.3208026316365873
2014,Carolina Panthers,0.39776783790961434
2014,Chicago Bears,0.5018058626427646
2014,Cincinnati Bengals,0.31065209349282075
2014,Cleveland Browns,0.4299834682825789
2014,Dallas Cowboys,0.4613677144634929
2014,Denver Broncos,0.3826586347158623
2014,Detroit Lions,0.48691827998565007
2014,Green Bay Packers,0.3547132253290725
2014,Houston Texans,0.49769331221930097
2014,Indianapolis Colts,0.2285134057202153
2014,Jacksonville Jaguars,0.31928709266759153
2014,Kansas City Chiefs,0.41201200600945587
2014,Las Vegas Raiders,0.2970030567569593
2014,Los Angeles Chargers,0.4072932480011757
2014,Los Angeles Rams,0.3950712074817849
