Year,Team,GINI
2013,Arizona Cardinals,0.5301956329132866
2013,Atlanta Falcons,0.5663571976875954
2013,Baltimore Ravens,0.5672196845421914
2013,Buffalo Bills,0.5607062767123282
2013,Carolina Panthers,0.5112477468567479
2013,Chicago Bears,0.5827161126904522
2013,Cincinnati Bengals,0.5297166721705713
2013,Cleveland Browns,0.6254290824126619
2013,Dallas Cowboys,0.5479238793506639
2013,Denver Broncos,0.5193135866729083
2013,Detroit Lions,0.5979606281756539
2013,Green Bay Packers,0.5591453236801996
2013,Houston Texans,0.6272188997144839
2013,Indianapolis Colts,0.5466522422806698
2013,Jacksonville Jaguars,0.619770203886267
2013,Kansas City Chiefs,0.5941203979739577
2013,Las Vegas Raiders,0.4619475862685343
2013,Los Angeles Chargers,0.5496963755589624
2013,Los Angeles Rams,0.5548785755624012
2013,Miami Dolphins,0.5192744435548632
2013,Minnesota Vikings,0.5785442346180942
2013,New England Patriots,0.5730482839913621
2013,New Orleans Saints,0.5409227872929543
2013,New York Giants,0.5858274889956875
2013,New York Jets,0.5784770888274035
2013,Philadelphia Eagles,0.5618649773635409
2013,Pittsburgh Steelers,0.5756449318905777
2013,San Francisco 49Ers,0.4888246292701013
2013,Seattle Seahawks,0.5569233186163983
2013,Tampa Bay Buccaneers,0.6419813439866818
2013,Tennessee Titans,0.5135901866062031
2013,Washington Commanders,0.5074165486642224
2014,Arizona Cardinals,0.5553415199450166
2014,Atlanta Falcons,0.5608716724937666
2014,Baltimore Ravens,0.6433505091032788
2014,Buffalo Bills,0.5463598577305706
2014,Carolina Panthers,0.5690240094937503
2014,Chicago Bears,0.6364302676967096
2014,Cincinnati Bengals,0.5312291106111194
2014,Cleveland Browns,0.6106700968302542
2014,Dallas Cowboys,0.5739569917625575
2014,Denver Broncos,0.5942652733994654
2014,Detroit Lions,0.6172836350478446
2014,Green Bay Packers,0.5686295923503383
2014,Houston Texans,0.6278197661936855
2014,Indianapolis Colts,0.5115315412694214
2014,Jacksonville Jaguars,0.5629802711561611
2014,Kansas City Chiefs,0.5784564884992089
2014,Las Vegas Raiders,0.5234081862862574
2014,Los Angeles Chargers,0.5662269572786288
2014,Los Angeles Rams,0.5452580597985868
2014,Miami Dolphins,0.584874323000164
2014,Minnesota Vikings,0.5422232209042819
2014,New England Patriots,0.5456216472999432
2014,New Orleans Saints,0.629793196815955
2014,New York Giants,0.6126185061892244
2014,New York Jets,0.5190657043394582
2014,Philadelphia Eagles,0.5018360669660223
2014,Pittsburgh Steelers,0.5916951559236122
2014,San Francisco 49Ers,0.5502732746023574
2014,Seattle Seahawks,0.5741924437433872
2014,Tampa Bay Buccaneers,0.6351591752170465
2014,Tennessee Titans,0.5674460392511401
2014,Washington Commanders,0.5910367859985953
2015,Arizona Cardinals,0.6069210376507252
2015,Atlanta Falcons,0.5787127730264117
2015,Baltimore Ravens,0.593645930171611
2015,Buffalo Bills,0.6592153656426888
2015,Carolina Panthers,0.6077244788309296
2015,Chicago Bears,0.6581147252450061
2015,Cincinnati Bengals,0.540823064088969
2015,Cleveland Browns,0.5747554846708277
2015,Dallas Cowboys,0.5650298632800896
2015,Denver Broncos,0.5926910541920392
2015,Detroit Lions,0.6372584266602801
2015,Green Bay Packers,0.6067736884536464
2015,Houston Texans,0.5876995501532968
2015,Indianapolis Colts,0.6020473107330809
2015,Jacksonville Jaguars,0.5678214232585452
2015,Kansas City Chiefs,0.5608857910426581
2015,Las Vegas Raiders,0.5635003061379544
2015,Los Angeles Chargers,0.6320133794979738
2015,Los Angeles Rams,0.5515291966080113
2015,Miami Dolphins,0.6125406460510577
2015,Minnesota Vikings,0.5483168487073835
2015,New England Patriots,0.5723264703260609
2015,New Orleans Saints,0.6246720869833736
2015,New York Giants,0.6135079485386413
2015,New York Jets,0.5694623746667129
2015,Philadelphia Eagles,0.5362587695347177
2015,Pittsburgh Steelers,0.5536519554607747
2015,San Francisco 49Ers,0.5717674611250705
2015,Seattle Seahawks,0.588259629754722
2015,Tampa Bay Buccaneers,0.5821717658083011
2015,Tennessee Titans,0.4974295892158983
2015,Washington Commanders,0.5982992602945504
2016,Arizona Cardinals,0.6879571972806867
2016,Atlanta Falcons,0.6105541565774406
2016,Baltimore Ravens,0.5800375726618543
2016,Buffalo Bills,0.584715525217646
2016,Carolina Panthers,0.5999102425315375
2016,Chicago Bears,0.5927244907476206
2016,Cincinnati Bengals,0.5822067344107252
2016,Cleveland Browns,0.5780719777950839
2016,Dallas Cowboys,0.5344622635669775
2016,Denver Broncos,0.6340374822625868
2016,Detroit Lions,0.6091333237835603
2016,Green Bay Packers,0.6227208890145048
2016,Houston Texans,0.5723454116634551
2016,Indianapolis Colts,0.6388630071400174
2016,Jacksonville Jaguars,0.5693518207367149
2016,Kansas City Chiefs,0.6305881058891291
2016,Las Vegas Raiders,0.5657734979882957
2016,Los Angeles Chargers,0.6293998211016671
2016,Los Angeles Rams,0.5774699169469121
2016,Miami Dolphins,0.6291631799120716
2016,Minnesota Vikings,0.5346471462716961
2016,New England Patriots,0.5357154640899187
