EPA Metric,Gini Index,Correlation,P-Value
offense_epa_per_play,GINI_gini20,-0.028812481634753053,0.6019997340609347
offense_epa_per_play,GINI_gini30,-0.029050086981732125,0.5990066112869559
offense_epa_per_play,GINI_gini40,0.01085557457947653,0.8442510656833161
offense_epa_per_play,GINI_gini50,-0.06747948953019497,0.22149277351362884
defense_epa_per_play,GINI_gini20,0.2063467884321048,0.00016003557527411285
defense_epa_per_play,GINI_gini30,0.1896535603796878,0.0005329157072698706
defense_epa_per_play,GINI_gini40,0.13395807739662674,0.014882700115901848
defense_epa_per_play,GINI_gini50,0.15755207622199147,0.004115691734767749
